[2024-06-13 13:58:50,138: INFO: main: Welcome to logger]
[2024-06-13 15:53:01,473: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-06-13 15:53:01,475: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-13 15:53:01,476: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-13 15:53:01,477: INFO: common: created directory at: artifacts]
[2024-06-13 15:53:01,478: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-13 15:53:01,479: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-13 15:53:20,545: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-13 15:53:21,971: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
